,metallicity,gas disk (Msun),solid disk (Mearth),life time (yr),luminosity,star mass (solar mass)
29725,0.023641587,0.0032287081,140.10235,771693.63,0.81902891,0.5
29726,0.0084995293,0.017700942,83.87462,1602969.6,0.46667741,0.5
29727,0.012467502,0.0088625208,99.867401,1038276.1,0.64608637,0.5
29728,0.022421461,0.0021878112,53.148817,799942.59,0.79574182,0.5
29729,0.011482314,0.011597372,61.584753,1559717.4,0.47589095,0.5
29730,0.013333553,0.0023813936,174.44909,657622.92,0.93818845,0.5
29731,0.0056336576,0.0017460172,104.41259,590458.74,1.0269612,0.5
29732,0.044386104,0.00036448122,90.169308,465199.28,1.196884,0.5
29733,0.014556025,0.022770801,95.845138,7666647.1,0.15037372,0.5
29734,0.0062053626,0.091289954,196.06882,3174317.4,0.28013115,0.5
29735,0.015321805,0.0096055361,190.10673,879353.41,0.73829915,0.5
29736,0.0070330819,0.001876945,129.04364,617475.93,0.98903859,0.5
29737,0.015963751,0.023394332,172.72315,1958006.2,0.40173462,0.5
29738,0.023146534,0.00082889057,114.19736,588846.95,1.0287685,0.5
29739,0.014053849,0.039267259,202.08618,3265116.9,0.27491908,0.5
29740,0.010510135,0.0047212169,43.573217,989948.23,0.67136819,0.5
29741,0.01538765,0.0019962861,159.44618,640503.78,0.95766886,0.5
29742,0.0082833235,0.01617168,87.047854,1175053.4,0.58876673,0.5
29743,0.01504441,0.041369712,160.71548,7070032.9,0.15951588,0.5
29744,0.015276304,0.033723373,184.72772,2738739.0,0.31282613,0.5
29745,0.0063810259,0.0029114638,78.881101,715855.42,0.87171038,0.5
29746,0.010991623,0.042042342,159.85647,4249730.5,0.22660274,0.5
29747,0.011980042,0.057500882,182.10996,6171017.3,0.17587155,0.5
29748,0.0090686415,0.0091323047,93.327924,1009215.2,0.66198301,0.5
29749,0.020620423,0.00019369977,20.9649,380547.15,1.196884,0.5
29750,0.0077132293,0.026607553,78.623833,2639763.0,0.321915,0.5
29751,0.0075078028,0.020519621,59.493576,3059484.6,0.28820015,0.5
29752,0.015356912,0.00055341803,83.473531,456183.87,1.196884,0.5
29753,0.02737217,0.011778701,144.60344,1850044.3,0.41954264,0.5
29754,0.015749297,0.000896643,160.71165,542900.73,1.1039584,0.5
29755,0.0075624589,0.00069721861,43.829744,519086.94,1.1504011,0.5
29756,0.014036298,0.00036766935,29.067556,451346.79,1.196884,0.5
29757,0.014577453,0.012018874,122.70322,1169442.7,0.59085195,0.5
29758,0.0082278923,0.0037946138,117.31922,724254.01,0.86326692,0.5
29759,0.01272769,0.017097501,167.06211,1148635.9,0.5985173,0.5
29760,0.014850636,0.018368098,132.20992,1536716.3,0.48097132,0.5
29761,0.0081069938,0.0156295,113.83475,1176131.8,0.58844766,0.5
29762,0.014635544,0.0044140353,45.704787,1060071.9,0.63571982,0.5
29763,0.011455883,0.021292375,95.530392,2150319.3,0.37446588,0.5
29764,0.0082938147,0.04993614,150.50826,2201008.3,0.3682369,0.5
29765,0.022129663,0.00063855161,110.61194,520778.21,1.1461634,0.5
29766,0.022863256,0.0042153895,140.37195,832401.13,0.76950686,0.5
29767,0.013501419,0.010241287,51.570966,2137942.1,0.37603945,0.5
29768,0.022819651,0.00078605546,125.76974,568691.08,1.0605963,0.5
29769,0.020004185,0.0015094292,47.834519,677240.53,0.91367996,0.5
29770,0.01063482,0.011425395,63.902668,1419771.3,0.50980474,0.5
29771,0.012487783,0.0087550866,132.05537,973683.21,0.68010987,0.5
29772,0.0097116037,0.013024112,145.79607,940105.38,0.69853737,0.5
29773,0.010736059,0.012702741,45.091832,3262532.0,0.2750688,0.5
29774,0.01232229,0.00042489831,25.956153,482874.07,1.196884,0.5
29775,0.017013334,0.0029655394,65.189402,822743.52,0.77655542,0.5
29776,0.018568944,0.0060740645,102.28695,940562.47,0.69878415,0.5
29777,0.0082117099,0.010340199,44.94155,1305188.9,0.54414755,0.5
29778,0.0074194585,0.0051445033,27.890708,1002896.0,0.66533285,0.5
29779,0.012026752,0.025726045,120.58158,2517635.1,0.33301973,0.5
29780,0.019145172,0.0061837275,182.84719,909664.82,0.71796234,0.5
29781,0.020432244,0.00014758656,11.099923,373166.85,1.196884,0.5
